source,n_samples,n_clickbait,n_non_clickbait,accuracy,macro_f1,clickbait_precision,clickbait_recall,clickbait_f1,balanced_accuracy,false_positive_count,false_negative_count,false_positive_rate,false_negative_rate,dominant_error_type
Kênh14,9,5,4,0.5555555555555556,0.55,0.6,0.6,0.6,0.55,2,2,0.5,0.4,FN
VnExpress,131,20,111,0.732824427480916,0.6342825237297599,0.32558139534883723,0.7,0.4444444444444444,0.7193693693693693,29,6,0.26126126126126126,0.3,FP
VietNamNet,67,17,50,0.7014925373134329,0.6436170212765957,0.43478260869565216,0.5882352941176471,0.5,0.6641176470588235,13,7,0.26,0.4117647058823529,FP
SaoStar,67,40,27,0.6865671641791045,0.667611622962438,0.7209302325581395,0.775,0.7469879518072289,0.6652777777777779,12,9,0.4444444444444444,0.225,FP
Tuổi Trẻ,33,10,23,0.7272727272727273,0.6996966632962589,0.5384615384615384,0.7,0.6086956521739131,0.7195652173913043,6,3,0.2608695652173913,0.3,FP
Thanh Niên,118,34,84,0.7542372881355932,0.7166045548654244,0.5609756097560976,0.6764705882352942,0.6133333333333333,0.73109243697479,18,11,0.21428571428571427,0.3235294117647059,FP
24h,129,60,69,0.7596899224806202,0.7591689250225835,0.7301587301587301,0.7666666666666667,0.7479674796747967,0.760144927536232,17,14,0.2463768115942029,0.23333333333333334,FP
Báo Mới,129,27,102,0.8372093023255814,0.7692700792096073,0.59375,0.7037037037037037,0.6440677966101694,0.7881263616557734,13,8,0.12745098039215685,0.2962962962962963,FP
