rank_macro_f1_mean,model_name,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,clickbait_precision_mean,clickbait_precision_std,clickbait_recall_mean,clickbait_recall_std,clickbait_f1_mean,clickbait_f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
1,tfidf_word_char_logreg,0.7759213062948953,0.005449544359560859,0.7545287816663929,0.006219655642466448,0.7464383323164676,0.004844203452946887,0.7789224345324544,0.004688063556218614,0.6269234108279291,0.012754019193586283,0.6976525821596244,0.02361460345532258,0.660067595879237,0.007559409863848208,0.8419452035596665,0.013160855988855592,0.7111407407306289,0.03906195954666158
2,tfidf_word_logreg,0.7721137125756217,0.009442069196429441,0.7571534403840211,0.011312369208013753,0.7452438491612066,0.010329874909798057,0.7763400807144378,0.009153530366384385,0.6158137376169437,0.013899160544248338,0.7173708920187793,0.0230955377957725,0.6625609698643924,0.014119724384385936,0.8375366308148455,0.012647436442960744,0.7025158681460281,0.03540822298729158
3,tfidf_word_char_svm,0.7776696736409578,0.021309785467179054,0.7432239461964972,0.02140080563852206,0.7421873816713471,0.02235913704957217,0.7781163856484952,0.020267510773502802,0.6426437366762646,0.036885503289902505,0.6516431924882629,0.031212713875295135,0.6466535941806196,0.02860237543746702,0.8272543613538966,0.012980372994168895,0.6983988271755777,0.04061411432839672
4,tfidf_char_logreg,0.767716173686041,0.013596172568659939,0.7519023125734401,0.010644491098459158,0.7403586366607053,0.01283807645456541,0.7720314679966155,0.01250488015823102,0.6103256529409296,0.022539437101038725,0.7098591549295775,0.010178161215342183,0.6561436206700151,0.013980003404999216,0.8338721393673781,0.014327460512379953,0.7008573109803266,0.038981189871087375
5,tfidf_word_svm,0.7753335079410741,0.012948083113876603,0.7422956006388708,0.020127546698381137,0.7401186395665633,0.01712508752073831,0.7760530684136054,0.013725203140848236,0.6359801578716641,0.01763065871063104,0.6544600938967136,0.044489606537022074,0.644574394352118,0.0268590195634564,0.8250030616641524,0.012831097359025597,0.6897924393017759,0.042344041806207405
6,tfidf_char_svm,0.7706409964663401,0.01934680443951974,0.7386314520977884,0.021233951069776713,0.7358558787762675,0.02129876965250213,0.7718876077886467,0.018840765033314263,0.6274774705182156,0.030866469659018132,0.6535211267605634,0.03049836951908306,0.6400474478313576,0.028226141439899072,0.825021993930344,0.015365806434580766,0.6952858094655088,0.04098506085036316
7,tfidf_word_nb,0.7510212406023109,0.015334599586189091,0.6199283581237611,0.020292597124032318,0.6234399622411757,0.026892287764386527,0.7058685619591458,0.020255706995621247,0.7938456956979888,0.05642828965030624,0.2713615023474178,0.03375714180703766,0.4042640891635762,0.044668290204486975,0.8274717789110018,0.018016505647544617,0.689703534202297,0.037660944709124775
8,majority_class,0.6880491019866639,0.00020449821565515718,0.5,0.0,0.4076001636647645,7.177777146272553e-05,0.5608978766437989,0.000265440888384975,0.0,0.0,0.0,0.0,0.0,0.0,,,,
