protocol,run_name,model_name,feature_set,train_size,eval_size,accuracy,balanced_accuracy,macro_f1,weighted_f1,clickbait_precision,clickbait_recall,clickbait_f1,roc_auc,pr_auc
stratified_kfold,fold_0,majority_class,simple_rule,2731,683,0.6881405563689604,0.5,0.40763226366001737,0.5610165854178862,0.0,0.0,0.0,,
stratified_kfold,fold_0,tfidf_word_logreg,text_title,2731,683,0.7759882869692533,0.7602187593646988,0.74898934215362,0.7799658100894135,0.6219512195121951,0.7183098591549296,0.6666666666666666,0.8488362800918989,0.6971373912575999
stratified_kfold,fold_0,tfidf_char_logreg,text_title,2731,683,0.7862371888726208,0.7676655678753371,0.7586268662496853,0.7893448442327781,0.6401673640167364,0.7183098591549296,0.6769911504424779,0.8382978723404254,0.7043118219053344
stratified_kfold,fold_0,tfidf_word_char_logreg,text_title,2731,683,0.7730600292825769,0.7465388073119568,0.7410911029643742,0.7753244948967829,0.6260869565217392,0.676056338028169,0.6501128668171557,0.8483468184996505,0.707966819765241
stratified_kfold,fold_0,tfidf_word_svm,text_title,2731,683,0.7657393850658858,0.7181150734192389,0.7219678003704382,0.7634781223878921,0.6331658291457286,0.5915492957746479,0.6116504854368932,0.8344820697233044,0.6825325643698233
stratified_kfold,fold_0,tfidf_char_svm,text_title,2731,683,0.7730600292825769,0.737553690939966,0.7366365402651422,0.7734902279717591,0.6342592592592593,0.6431924882629108,0.6386946386946387,0.8255918489661372,0.7022397675974306
stratified_kfold,fold_0,tfidf_word_char_svm,text_title,2731,683,0.7774524158125915,0.735610828089102,0.7380130418105102,0.7762617932012079,0.6487804878048781,0.6244131455399061,0.6363636363636364,0.8290180801118769,0.6970351872467406
stratified_kfold,fold_0,tfidf_word_nb,text_title,2731,683,0.7540263543191801,0.6248876236140246,0.6304112554112554,0.7108393071057786,0.8,0.28169014084507044,0.4166666666666667,0.8387273998601539,0.6786636092723183
stratified_kfold,fold_1,majority_class,simple_rule,2731,683,0.6881405563689604,0.5,0.40763226366001737,0.5610165854178862,0.0,0.0,0.0,,
stratified_kfold,fold_1,tfidf_word_logreg,text_title,2731,683,0.7686676427525623,0.7471980821096793,0.73878797854418,0.7720307218409516,0.6150627615062761,0.6901408450704225,0.6504424778761062,0.8177804415143343,0.6673395079195548
stratified_kfold,fold_1,tfidf_char_logreg,text_title,2731,683,0.7745241581259151,0.752736989311757,0.7448277535177099,0.7775830152529406,0.6244725738396625,0.6948356807511737,0.6577777777777778,0.813595045450005,0.6614826811936059
stratified_kfold,fold_1,tfidf_word_char_logreg,text_title,2731,683,0.7818448023426061,0.7516381979822195,0.7487141499067866,0.7830471244068095,0.6441441441441441,0.6713615023474179,0.6574712643678161,0.8227150134851663,0.6730907880241422
