rank_macro_f1_mean,model_name,macro_f1_mean,macro_f1_std,clickbait_f1_mean,clickbait_f1_std,balanced_accuracy_mean,balanced_accuracy_std
1,tfidf_word_char_logreg,0.7464,0.0048,0.6601,0.0076,0.7545,0.0062
2,tfidf_word_logreg,0.7452,0.0103,0.6626,0.0141,0.7572,0.0113
3,tfidf_word_char_svm,0.7422,0.0224,0.6467,0.0286,0.7432,0.0214
4,tfidf_char_logreg,0.7404,0.0128,0.6561,0.014,0.7519,0.0106
5,tfidf_word_svm,0.7401,0.0171,0.6446,0.0269,0.7423,0.0201
6,tfidf_char_svm,0.7359,0.0213,0.64,0.0282,0.7386,0.0212
7,tfidf_word_nb,0.6234,0.0269,0.4043,0.0447,0.6199,0.0203
8,majority_class,0.4076,0.0001,0.0,0.0,0.5,0.0
